store_name,website,city,state,store_type,product_fit,current_email,contact_page,contact_form_url,manual_found_email,manual_email_source_url,manual_decision,recommended_action,notes
Piccolo Mondo Toys,https://www.piccolomondotoys.com/,Portland,OR,independent toy store,both,,https://www.piccolomondotoys.com/pages/contact,https://www.piccolomondotoys.com/pages/contact,,,,verify_email_on_site,"503.617.0250 | No email found, contact form only. Multi-location."
Play Games San Jose,https://www.playgamessj.com/,San Jose,CA,board game store,card_games,info@playgamessj.com,,,,,,verify_email_on_site,
Politics and Prose,https://www.politics-prose.com/,Washington,DC,bookstore gift section,both,info@politics-prose.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
Powell's Books,https://www.powells.com/,Portland,OR,bookstore gift section,both,vendor@powells.com,,,,,,verify_email_on_site,Major indie bookstore. Gift/game section. Vendor inquiry: vendor@powells.com | GUESSED: vendor@powel
Pulp Fiction Comics & Games,https://www.pulpfictioncomics.com/,Culver City,CA,comic / game store,card_games,info@pulpfictioncomics.com,,,,,,verify_email_on_site,Physical store in Culver City. Email from website.
Puzzles Plus,https://www.puzzlesplusnashville.com/,Nashville,TN,puzzle store,both,info@puzzlesplusnashville.com,,,,,,verify_email_on_site,Batch4d: Nashville puzzle specialty store.
RIW Hobbies & Games,https://www.riwhobbies.com/,Livonia,MI,toy / game / hobby store,both,info@riwhobbies.com,,,,,,verify_email_on_site, | GUESSED: info@riwhobbies.com not on site
Red Caps Corner,https://www.redcapscorner.com/,Philadelphia,PA,board game store,card_games,info@redcapscorner.com,,,,,,verify_email_on_site, | GUESSED: info@redcapscorner.com not on site
Red Castle Games,https://www.redcastlegames.com/,Portland,OR,board game store,card_games,staff@redcastlegames.com,,,,,,verify_email_on_site,Email from website. Physical store in Portland. | GUESSED: staff@redcastlegames.com not on site
Samurai Comics & Games,https://www.samuraicomics.com/,Phoenix,AZ,comic / game store,card_games,info@samuraicomics.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
Sci-Fi City Games,https://www.scificitygames.com/,Orlando,FL,board game store,card_games,info@scificitygames.com,,,,,,verify_email_on_site,
Scottsdale Toy Company,https://www.scottsdaletoyco.com/,Scottsdale,AZ,independent toy store,both,info@scottsdaletoyco.com,,,,,,verify_email_on_site,
Shall We Game,https://www.shallwegamelv.com/,Las Vegas,NV,board game store,card_games,info@shallwegamelv.com,,,,,,verify_email_on_site,
Shuffle & Cut,https://www.shuffleandcut.com/,Orange,CA,board game store,card_games,info@shuffleandcut.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
Silly Good Fun,https://www.sillygoodfun.com/,Brooklyn,NY,independent toy store,both,hello@sillygoodfun.com,,,,,,verify_email_on_site, | GUESSED: hello@sillygoodfun.com not on site
Smithsonian National Museum of American History Gift Shop,https://www.americanhistory.si.edu/,Washington,DC,museum gift shop,both,,,,,,,verify_email_on_site,Government org. Vendor process required.
Snapdoodle Toys and Games,https://snapdoodletoys.com/,Seattle,WA,independent toy store chain,both,,https://snapdoodletoys.com/pages/contact,https://snapdoodletoys.com/pages/contact,,,,verify_email_on_site,"8 locations in Seattle area. No email on main page, contact form available."
SoCal Games & Comics,https://www.socalgamescomics.com/,Tustin,CA,comic / game store,card_games,info@socalgamescomics.com,,,,,,verify_email_on_site,
Space Cadets Collection Station,https://www.spacecadets.com/,Houston,TX,board game store,card_games,info@spacecadets.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
Stomping Grounds,https://www.stompinggroundsphl.com/,Philadelphia,PA,board game store / cafe,card_games,info@stompinggroundsphl.com,,,,,,verify_email_on_site,
Storyville Toys,https://www.storyvilletoys.com/,Arlington,VA,independent toy store,both,info@storyvilletoys.com,,,,,,verify_email_on_site,"Batch4d: Arlington VA toy store. Puzzles, books, games. | GUESSED: info@storyvilletoys.com not on si"
Sylvan Factory,https://sylvanfactory.com/,Ann Arbor,MI,board game store,card_games,,https://sylvanfactory.com/contact,https://sylvanfactory.com/contact,,,,verify_email_on_site,No email on website. Contact form available. Physical store at 2459 W Stadium Blvd.
TC's Rockets,https://www.tcsrockets.com/,San Diego,CA,collectible / game store,card_games,info@tcsrockets.com,,,,,,verify_email_on_site,"More collectible focused. Game section available. | downgraded: guessed_or_unverified_email, needs e"
Tabletop Game Cafe,https://www.tabletopkc.com/,Kansas City,MO,board game store / cafe,card_games,info@tabletopkc.com,,,,,,verify_email_on_site,
Tacoma Games,https://www.tacomagames.com/,Tacoma,WA,board game store,card_games,info@tacomagames.com,,,,,,verify_email_on_site,
Terra Toys,https://www.terratoysaustin.com/,Austin,TX,independent toy store,both,info@terratoysaustin.com,,,,,,verify_email_on_site,Physical store in Austin. Email from website.
The Asheville Shop,https://theashevilleshop.com/,Asheville,NC,local gift shop,both,,https://theashevilleshop.com/pages/contact,https://theashevilleshop.com/pages/contact,,,,verify_email_on_site,"828-210-2726 | 36 Montford Ave, Asheville NC 28801. Contact form only."
The Brain Shoppe,https://www.thebrainshoppe.com/,Ithaca,NY,puzzle / brain teaser store,both,,https://www.thebrainshoppe.com/contact-us/,https://www.thebrainshoppe.com/contact-us/,,,,verify_email_on_site,"210 East State St., Ithaca NY 14850 | (607) 277-2757 | Contact form only."
The Collective,https://www.collectiveorlando.com/,Orlando,FL,board game store / lounge,card_games,info@collectiveorlando.com,,,,,,verify_email_on_site,
The Curio Shoppe & Wizardry Store,https://www.curioshoppealexandria.com/,Alexandria,VA,gift / game store,both,hello@curioshoppealexandria.com,,,,,,verify_email_on_site, | GUESSED: hello@curioshoppealexandria.com not on site
The Game Keep,https://www.thegamekeep.com/,Nashville,TN,board game store,card_games,info@thegamekeep.com,,,,,,verify_email_on_site,
The Game Room,https://www.gameroompa.com/,Palo Alto,CA,board game store,card_games,info@gameroompa.com,,,,,,verify_email_on_site,Batch4d: Palo Alto board game store near Stanford.
The Gameroom,https://www.gameroomclt.com/,Charlotte,NC,board game store,card_games,info@gameroomclt.com,,,,,,verify_email_on_site,"Batch4d: Charlotte board game store. Board games, card games."
The Games People Play,https://www.gamespeopleplaycambridge.com/,Cambridge,MA,board game store,card_games,info@gamespeopleplaycambridge.com,,,,,,verify_email_on_site,
The Gaming Pit,https://www.thegamingpit.com/,Buford,GA,board game store,card_games,info@thegamingpit.com,,,,,,verify_email_on_site,
The Learning Tree,https://www.learningtreeoakland.com/,Oakland,CA,educational toy store,both,info@learningtreeoakland.com,,,,,,verify_email_on_site,Batch4d: Oakland educational toy store. Learning through play.
The Rook Game Room,https://www.therooknola.com/,New Orleans,LA,board game store / bar,card_games,info@therooknola.com,,,,,,verify_email_on_site,
The Toy Box,https://www.toyboxbrookline.com/,Brookline,MA,independent toy store,both,info@toyboxbrookline.com,,,,,,verify_email_on_site,
Therapy Stores,https://www.therapystores.com/,San Francisco,CA,toy / gift store,both,info@therapystores.com,,,,,,verify_email_on_site,
Things From Another World,https://www.tfaw.com/,Portland,OR,comic / game store,card_games,info@tfaw.com,,,,,,verify_email_on_site,Email from website. Multiple Portland locations. Owned by Dark Horse Comics. | downgraded: guessed_o
Third Planet Comics & Games,https://www.thirdplanet.com/,Houston,TX,comic / game store,card_games,info@thirdplanet.com,,,,,,verify_email_on_site, | GUESSED: info@thirdplanet.com not on site
Tiki Tiki Board Games,https://www.tikitikiboardgames.com/,Philadelphia,PA,board game store,card_games,hello@tikitikiboardgames.com,,,,,,verify_email_on_site, | GUESSED: hello@tikitikiboardgames.com not on site
Timbuk Toys,https://timbuktoys.com/,Denver,CO,independent toy store chain,both,info@timbuktoys.com,,,,,,verify_email_on_site, | GUESSED: info@timbuktoys.com not on site
Time Vault Games,https://www.timevaultgames.com/,Portland,OR,board game store,card_games,info@timevaultgames.com,https://www.timevaultgames.com/contact,,,,,verify_email_on_site,Email from website. Physical store in downtown Portland. | GUESSED: info@timevaultgames.com not on s
Timeless Toys,https://timelesstoys.com/,Chicago,IL,independent toy store,both,,https://timelesstoys.com/pages/contact-us,https://timelesstoys.com/pages/contact-us,,,,verify_email_on_site,"4749 N Lincoln Ave, Chicago. Contact form only."
Titan Comics & Games,https://www.titancomicsga.com/,Atlanta,GA,comic / game store,card_games,info@titancomicsga.com,,,,,,verify_email_on_site,
Top Deck Games,https://www.topdecktucson.com/,Tucson,AZ,board game store,card_games,info@topdecktucson.com,,,,,,verify_email_on_site,
Top Ten Toys,https://www.toptentoys.com/,Seattle,WA,independent toy store,both,info@toptentoys.com,,,,,,verify_email_on_site,
Toy Chest,https://www.thetoychestnc.com/,Hillsborough,NC,independent toy store,both,info@thetoychestnc.com,,,,,,verify_email_on_site,
Toy Garden,https://www.toygarden.com/,Seattle,WA,independent toy store,both,info@toygarden.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
Toy Joy,https://www.toyjoy.com/,Austin,TX,independent toy store,both,info@toyjoy.com,https://www.toyjoy.com/pages/contact,,,,,verify_email_on_site,Austin institution. Email from website. Physical store. | GUESSED: info@toyjoy.com not on site
Toy Lab,https://www.toylabchicago.com/,Chicago,IL,independent toy store,both,hello@toylabchicago.com,https://www.toylabchicago.com/pages/contact,,,,,verify_email_on_site,Email from website. Physical store in Chicago. | GUESSED: hello@toylabchicago.com not on site
Toy Mandala,https://www.toymandala.com/,Los Angeles,CA,independent toy store,both,hello@toymandala.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site | GUESSED: hel"
Toy Sense,https://www.toysenseatl.com/,Atlanta,GA,independent toy store,both,info@toysenseatl.com,,,,,,verify_email_on_site,"Batch4d: Atlanta independent toy store. Toys, puzzles, games."
Toyopolis Santa Fe,https://toyopolissantafe.com/,Santa Fe,NM,independent toy store,both,,https://toyopolissantafe.com/,https://toyopolissantafe.com/,,,,verify_email_on_site,"505-988-5422 | 150 Washington Ave Suite 104, Santa Fe NM 87501. Contact form only."
Treasure Coast Toys,https://www.treasurecoasttoys.com/,Vero Beach,FL,independent toy store,both,info@treasurecoasttoys.com,,,,,,verify_email_on_site,
Turn Zero Games,https://www.turnzerogames.com/,Los Angeles,CA,board game store,card_games,info@turnzerogames.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
Turtle Creek Puzzles,https://puzzleboxguy.com/,Charleston,SC,puzzle / gift store,puzzles,weekapal@comcast.net,,,,,,verify_email_on_site,"84 N Market St, Charleston SC 29401 | Email: weekapal@comcast.net | downgraded_from_A: guessed_email"
Uncle Bob's Hobbies,https://www.unclebobshobbies.com/,Raleigh,NC,board game store,card_games,info@unclebobshobbies.com,,,,,,verify_email_on_site,
Uncle's Games,https://www.unclesgames.com/,Bellevue,WA,board game store,card_games,info@unclesgames.com,,,,,,verify_email_on_site, | GUESSED: info@unclesgames.com not on site
Universal CityWalk Orlando,https://www.universalorlando.com/,Orlando,FL,gift shop / tourist retail,both,,,,,,,verify_email_on_site,Universal vendor process. Contact form.
Unreal City Comics,https://www.unrealcitycomics.com/,Miami,FL,comic / game store,card_games,info@unrealcitycomics.com,,,,,,verify_email_on_site,
Versus Games,https://www.versusgames.com/,San Francisco,CA,board game store,card_games,,,,,,,verify_email_on_site,No public email found. Contact form available. Physical store.
Victory Comics,https://www.victorycomics.com/,Falls Church,VA,comic / game store,card_games,info@victorycomics.com,,,,,,verify_email_on_site, | GUESSED: info@victorycomics.com not on site
Villainous Lair,https://www.villainouslair.com/,Fort Myers,FL,board game store,card_games,info@villainouslair.com,,,,,,verify_email_on_site,
Warhammer Madison,https://www.warhammermadison.com/,Madison,WI,board game / hobby store,card_games,info@warhammermadison.com,,,,,,verify_email_on_site,
Wildcat Toys,https://www.wildcattoys.com/,Boulder,CO,independent toy store,both,info@wildcattoys.com,,,,,,verify_email_on_site, | GUESSED: info@wildcattoys.com not on site
Wonder Works Toys,https://wonderworkstoys.com/,Charleston,SC,independent toy store,both,,https://wonderworkstoys.com/pages/contact-us,https://wonderworkstoys.com/pages/contact-us,,,,verify_email_on_site,"Mt. Pleasant, West Ashley, Charleston City Market locations. Contact form only."
Wonderment Toys,https://www.wondermenttoys.com/,Madison,WI,independent toy store,both,info@wondermenttoys.com,,,,,,verify_email_on_site,"Batch4d: Madison specialty toy store. Puzzles, games."
Y2Komics,https://www.y2komics.com/,Dallas,TX,comic / game store,card_games,info@y2komics.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site"
Yellowstone Forever Gift Shop,https://www.yellowstoneforever.org/,Yellowstone,WY,national park gift shop,both,store@yellowstoneforever.org,,,,,,verify_email_on_site,Nonprofit park store. Wholesale vendor process available. | GUESSED: store@yellowstoneforever.org no
Zulu's Board Game Cafe,https://www.zuluscafe.com/,Seattle,WA,board game store / cafe,card_games,info@zuluscafe.com,,,,,,verify_email_on_site,
